id,date,city,province,target_name,target_type,incident_type,description,severity,arrests,charges,court_jurisdiction,police_agency,police_file_number,damage_estimate_cad,source,notes
137,2025-12-20,Toronto,ON,Indigo Eaton Centre,business,organized mass returns to disrupt operations,More than 100 pro-Palestine protesters returned children’s books en masse at Indigo’s Eaton Centre location in an effort to slow operations and economically pressure the company over CEO Heather Reisman’s charity ties.,watch,False,,,,,,https://www.torontotoday.ca/local/business-economy/palestine-protest-indigo-book-return-eaton-centre-11653605,This row records an organized economic-disruption action rather than vandalism.
138,2025-12-23,Charlottetown,PE,PEI promotion of hatred toward Jews case (Runighan),,online hate propaganda,RCMP laid promotion-of-hatred charges toward Jews in PEI investigation.,low,True,,,,,,https://rcmp.ca/en/pei/news/2025/12/4348797,
139,2025-12-26,Toronto,ON,Toronto Eaton Centre Boxing Day protest,community target,mall protest with anti-Israel chants during Boxing Day shopping,"Demonstrators moved through the Toronto Eaton Centre during Boxing Day shopping, chanting slogans including calls for 'intifada' according to reporting. Toronto police said there were no arrests and the protesters exited without incident.",watch,False,,,Toronto Police Service,,,https://www.jns.org/protesters-demand-intifada-at-toronto-mall/ ; https://thej.ca/2025/12/27/pro-palestinian-demonstrators-disrupt-boxing-day-shopping-at-toronto-eaton-centre/,"Public reporting did not indicate arrests or injuries, but the protest is relevant as a mass intimidation / disruption incident during a peak shopping period."
140,2026-01-02,Winnipeg,MB,Shaarey Zedek,Jewish institution,swastikas spray-painted on front doors,Multiple swastikas and a hate message were painted on the synagogue front doors.,low,False,,,,,,https://thecjn.ca/news/we-need-people-to-come-forward-police-update-winnipeg-synagogues-antisemitic-graffiti-case/,
141,2026-01-02,Winnipeg,MB,Shaarey Zedek Synagogue graffiti spree (Oliver Didtger Ederhof case),,spray‑paint hate graffiti,"Winnipeg police arrested Oliver Didtger Ederhof after a graffiti spree affecting a synagogue, mosque, and other locations.",low,True,Mischief under $5000 (multiple counts),Manitoba court,,,,https://www.winnipegfreepress.com/breakingnews/2026/01/09/police-make-arrest-in-hate-graffiti,
142,2026-01-06,Winnipeg,MB,Kelvin High School,Jewish institution,swastikas and antisemitic vandalism,Kelvin High School was hit with antisemitic graffiti shortly after the Shaarey Zedek incident.,low,False,,,,,,https://winnipeg.citynews.ca/,Exact article URL not captured; base URL used.
143,2026-01-10,Winnipeg,MB,Grant Park High School,Jewish institution,swastika inside classroom,Grant Park High School also reported a classroom swastika during the same January 2026 spike.,low,False,,,,,,https://winnipeg.citynews.ca/,Exact article URL not captured; base URL used.
144,2026-01-22,Newmarket,ON,York Region Jewish institutions indecent communications case,,indecent communications to synagogues and Jewish schools,"York Regional Police charged a 14-year-old after hate‑motivated communications directed at synagogues, community centres, and Jewish schools.",watch,True,Mischief relating to religious property; indecent communications,Ontario youth court,,,,https://www.winnipegfreepress.com/canada/2026/01/22/teen-charged-after-hate-motivated-incidents-targeting-jewish-community-york-police,
145,2026-02-04,Montreal,QC,Maestro SVP,business,antisemitic slur and Star of David on front window,Owner Ilene Polansky found an antisemitic message—'You f***ing Jew' alongside a Star of David—written on the front window of her Montreal seafood restaurant. She told media she filed a report with SPVM’s hate-crimes division.,watch,False,,,Service de police de la Ville de Montréal (SPVM),,,https://ca.news.yahoo.com/brownstein-maestro-svp-targeted-antisemitic-204919831.html ; https://montreal.citynews.ca/video/2026/02/05/antisemitic-message-written-on-montreal-restaurant-run-by-jewish-woman/,"Date inferred from reporting that the graffiti was found the previous Wednesday and from CityNews video dated Feb. 5, 2026."
146,2026-03-02,Winnipeg,MB,Threats to Jewish persons (Jason Paul Rindall case),,death threats / incitement,RCMP charged suspect with uttering threats to Jewish persons.,low,True,,,,,,https://rcmp.ca/en/news/2026/03/4350769,
147,2026-03-03,Toronto,ON,Temple Emanu-El,synagogue,shots fired into synagogue,Gunfire struck Temple Emanu-El in North York; bullet holes were found in the front windows and the hate crime unit joined the investigation.,elevated,False,,,Toronto Police Service,2026-451766,,https://toronto.citynews.ca/2026/03/03/north-york-shooting-synagogue-police-old-colony-road/,
148,2026-03-04,Montreal,QC,Gourmetti,business,swastika graffiti on storefront,Montreal police were called around 3 a.m. after swastika graffiti was reported on three neighbouring Jewish-owned businesses on St-Louis Street in Saint-Laurent. One of the named businesses was the Italian kosher restaurant Gourmetti.,watch,False,,,Service de police de la Ville de Montréal (SPVM),,,https://ca.news.yahoo.com/swastikas-spray-painted-three-neighbouring-123219578.html ; https://www.jns.org/advocacy-groups-urge-govt-action-after-montreal-jewish-businesses-vandalized-with-swastikas/,Police spokesperson said the case was referred to the hate-crimes unit.
149,2026-03-04,Montreal,QC,Unnamed Jewish-owned butcher shop (St-Louis St.),Western civilian target,swastika graffiti on storefront,The Saint-Laurent graffiti incident also involved a neighbouring Jewish-owned butcher shop on St-Louis Street. Police said officers found hate-related graffiti on the butcher shop and adjacent businesses after the initial call about the pharmacy.,watch,False,,,Service de police de la Ville de Montréal (SPVM),,,https://ca.news.yahoo.com/swastikas-spray-painted-three-neighbouring-123219578.html ; https://www.jns.org/advocacy-groups-urge-govt-action-after-montreal-jewish-businesses-vandalized-with-swastikas/,Public reporting did not identify the butcher shop by name.
150,2026-03-04,Montreal,QC,Unnamed Jewish-owned pharmacy (St-Louis St.),Western civilian target,swastika graffiti on storefront,The same Saint-Laurent graffiti incident involved a Jewish-owned pharmacy on St-Louis Street. Police said the initial 911 call concerned graffiti on the pharmacy storefront and then found hate-related graffiti on two neighbouring Jewish-owned businesses as well.,watch,False,,,Service de police de la Ville de Montréal (SPVM),,,https://ca.news.yahoo.com/swastikas-spray-painted-three-neighbouring-123219578.html ; https://www.jns.org/advocacy-groups-urge-govt-action-after-montreal-jewish-businesses-vandalized-with-swastikas/,Public reporting did not identify the pharmacy by name.
151,2026-03-07,Thornhill,ON,Beth Avraham Yoseph of Toronto (BAYT),Western civilian target,shots fired at synagogue,York police investigated gunfire damage at BAYT in Thornhill after midnight; two people were inside at the time.,elevated,False,,,,,,https://toronto.citynews.ca/2026/03/07/police-investigate-after-shots-fired-at-thornhill-synagogue/,
152,2026-03-07,Toronto,ON,Shaarei Shomayim,Jewish institution,shots fired at front doors,Toronto police said multiple shots were fired at the front doors of Shaarei Shomayim just after midnight.,elevated,False,,,Toronto Police Service,2026-482592,,https://www.tps.ca/media-centre/news-releases/discharge-firearm-investigation-shaarei-shomayim/,
153,2024-11-15,Montreal,Quebec,McGill Jewish student activists,Jewish students,Doxxing / Target Mapping,Campus targeting list circulation,elevated,,,,,,,,
154,2025-02-24,Toronto,Ontario,Canadians who served in the IDF,Jewish individuals,Doxxing / Target Mapping,Launch of findidfsoldiers.net database,elevated,,,,,,,,
155,2025-12-03,Toronto,Ontario,Toronto Jewish institutions,Jewish institutions,Doxxing / Target Mapping,Launch of GTAtoIDF.com database,elevated,,,,,,,,
156,2024-06-01,Toronto,Ontario,Dahlia Kurtz,Jewish individual,Online harassment,Online harassment campaign,elevated,,,,,,,,
157,2024-03-15,Toronto,Ontario,University of Toronto Jewish student leaders,Jewish students,Doxxing / Target Mapping,Spreadsheet identifying pro‑Israel students,elevated,,,,,,,,
